



'
efn-lg
efn-lr,                      Footnote marker.,                                           https://en.wikipedia.org/wiki/Template:efn-lr
efn-ua
efn-ur
Emblem table
EMedicine
empty section
end box
end div col
endflatlist
end,                        ?,                       https://en.wikipedia.org/wiki/Template:S-end
Endorsements box
endplainlist
end plainlist
EngvarB
Essay,                       Cleanup tag.,                                               https://en.wikipedia.org/wiki/Template:Essay
etymonline
example needed
Excessive citations inline
Exchange Rate
Expand German
Expand Hungarian
Expand Japanese
Expand language
Expand list
Expand Russian
expand-section
Expand section
expand Serbian
Expand Spanish
Expand Swedish
Explain
Explanatory footnote,        Footnote efn alias.,                                        https://en.wikipedia.org/wiki/Template:Explanatory_footnote
external media
FACT
failed verification
failed verification span
family name hatnote
familytree/end
familytree/start
fbaicon
fbicon
fcn
Featured list
FishBase
Fix
flag
flagcountry
flagd
Flag decoration
flag icon
flagicon
Flag icon
flagicon image
Flora Europaea
football squad on pitch
For introduction
For LMST
For multi
For outline
Fs end
Fs mid
Fs start
full citation needed
full cn
full,                        Full citation needed.,                                      https://en.wikipedia.org/wiki/Template:Full_citation_needed
Further reading cleanup
fv
Gallery
GeoGroup
Global cities map
Globalize,                   Cleanup tag.,                                               https://en.wikipedia.org/wiki/Template:Globalize
globalize section,           Cleanup section tag.,                                      https://en.wikipedia.org/wiki/Template:Globalize_section
Grove Music subscription,    Subscription notice.,                                      https://en.wikipedia.org/wiki/Template:Grove_Music_subscription
Hatnote
Hatnote group
HESA student population
how
How
how-to
huh?
huh
hungarian name
Hungarian name
Ice Hockey World Championships, Navigation template., https://en.wikipedia.org/wiki/Template:Ice_Hockey_World_Championships
IEEE Medal of Honor Laureates 1951-1975, Navigation template alias., https://en.wikipedia.org/wiki/Template:IEEE_Medal_of_Honor_Laureates_1951-1975
IEEE Medal of Honor Laureates 1951–1975, Navigation template., https://en.wikipedia.org/wiki/Template:IEEE_Medal_of_Honor_Laureates_1951%E2%80%931975
IIHF, Navigation template., https://en.wikipedia.org/wiki/Template:IIHF
IIHF World Championship venues, Navigation template., https://en.wikipedia.org/wiki/Template:IIHF_World_Championship_venues
IJF World Tour Hungary, Navigation template., https://en.wikipedia.org/wiki/Template:IJF_World_Tour_Hungary
imagefact, Maintenance template., https://en.wikipedia.org/wiki/Template:Imagefact
Image frame, Image-label layout template., https://en.wikipedia.org/wiki/Template:Image_frame
image key, Image-label layout template., https://en.wikipedia.org/wiki/Template:Image_key
Image label begin, Image-label layout template., https://en.wikipedia.org/wiki/Template:Image_label_begin
Image label end, Image-label layout template., https://en.wikipedia.org/wiki/Template:Image_label_end
Image label small, Image-label layout template., https://en.wikipedia.org/wiki/Template:Image_label_small
IMDb name
Incarceration, Navigation template., https://en.wikipedia.org/wiki/Template:Incarceration
incomplete list,             A list which is missing obvious entries.,                   https://en.wikipedia.org/wiki/Template:Incomplete_list
incomplete, Maintenance template alias., https://en.wikipedia.org/wiki/Template:Incomplete
incomplete short citation
Incubator, Sister project box., https://en.wikipedia.org/wiki/Template:Incubator
Independent source inline, Maintenance template., https://en.wikipedia.org/wiki/Template:Independent_source_inline
Indigenous rights footer, Navigation footer., https://en.wikipedia.org/wiki/Template:Indigenous_rights_footer
Indo-Aryan languages, Navigation template., https://en.wikipedia.org/wiki/Template:Indo-Aryan_languages
Indo-European languages, Navigation template., https://en.wikipedia.org/wiki/Template:Indo-European_languages
Indo-European, Navigation template alias., https://en.wikipedia.org/wiki/Template:Indo-European
Indo-European topics, Navigation template., https://en.wikipedia.org/wiki/Template:Indo-European_topics
Infantes of Aragon, Navigation template., https://en.wikipedia.org/wiki/Template:Infantes_of_Aragon
Inflation-fn, Inflation footnote/data template alias., https://en.wikipedia.org/wiki/Template:Inflation-fn
inflation/fn, Inflation footnote/data template., https://en.wikipedia.org/wiki/Template:Inflation/fn
Inflation-year, Inflation data template alias., https://en.wikipedia.org/wiki/Template:Inflation-year
Informa, Navigation template., https://en.wikipedia.org/wiki/Template:Informa
Information security, Navigation template., https://en.wikipedia.org/wiki/Template:Information_security
inline, Cleanup template alias., https://en.wikipedia.org/wiki/Template:Inline
Inner Asia, Navigation template., https://en.wikipedia.org/wiki/Template:Inner_Asia
in popular culture, Maintenance template., https://en.wikipedia.org/wiki/Template:In_popular_culture
Insurance, Navigation template., https://en.wikipedia.org/wiki/Template:Insurance
Interkosmos, Navigation template., https://en.wikipedia.org/wiki/Template:Interkosmos
International athletics, Navigation template alias., https://en.wikipedia.org/wiki/Template:International_athletics
International Criminal Law, Navigation template alias., https://en.wikipedia.org/wiki/Template:International_Criminal_Law
International development and investment banks, Navigation template., https://en.wikipedia.org/wiki/Template:International_development_and_investment_banks
International Football, Navigation template alias., https://en.wikipedia.org/wiki/Template:International_Football
International Forum of Public Universities, Navigation template., https://en.wikipedia.org/wiki/Template:International_Forum_of_Public_Universities
International_futsal, Navigation template., https://en.wikipedia.org/wiki/Template:International_futsal
International human rights legal instruments, Navigation template alias., https://en.wikipedia.org/wiki/Template:International_human_rights_legal_instruments
International mathematical activities, Navigation template., https://en.wikipedia.org/wiki/Template:International_mathematical_activities
International Monetary Fund by country, Navigation template., https://en.wikipedia.org/wiki/Template:International_Monetary_Fund_by_country
International organisations, Navigation template alias., https://en.wikipedia.org/wiki/Template:International_organisations
International organizations, Navigation template., https://en.wikipedia.org/wiki/Template:International_organizations
International power, Navigation template., https://en.wikipedia.org/wiki/Template:International_power
International relations, Navigation template., https://en.wikipedia.org/wiki/Template:International_relations
International Science Council, Navigation template., https://en.wikipedia.org/wiki/Template:International_Science_Council
International Science Olympiad, Navigation template., https://en.wikipedia.org/wiki/Template:International_Science_Olympiad
International Sports Federations, Navigation template., https://en.wikipedia.org/wiki/Template:International_Sports_Federations
International water polo, Navigation template., https://en.wikipedia.org/wiki/Template:International_water_polo
interWiki, Sister project template., https://en.wikipedia.org/wiki/Template:InterWiki
in title
Iranian languages, Navigation template., https://en.wikipedia.org/wiki/Template:Iranian_languages
Iranian peoples, Navigation template., https://en.wikipedia.org/wiki/Template:Iranian_peoples
Irredentism, Navigation template., https://en.wikipedia.org/wiki/Template:Irredentism
irrelevant citation, Maintenance template., https://en.wikipedia.org/wiki/Template:Irrelevant_citation
Irreligion, Navigation template., https://en.wikipedia.org/wiki/Template:Irreligion
Irreligion sidebar, Navigation sidebar., https://en.wikipedia.org/wiki/Template:Irreligion_sidebar
ISBN?
ISBN missing, Maintenance template., https://en.wikipedia.org/wiki/Template:ISBN_missing
Islam and iman, Navigation template., https://en.wikipedia.org/wiki/Template:Islam_and_iman
Islamic geography, Navigation template., https://en.wikipedia.org/wiki/Template:Islamic_geography
Islam, Navigation template., https://en.wikipedia.org/wiki/Template:Islam
Islam topics, Navigation template., https://en.wikipedia.org/wiki/Template:Islam_topics
Istanbul, Navigation template., https://en.wikipedia.org/wiki/Template:Istanbul
Italic title
Italy topics, Navigation template., https://en.wikipedia.org/wiki/Template:Italy_topics
"Ithaca, New York", Navigation template., https://en.wikipedia.org/wiki/Template:Ithaca,_New_York
ITU World Championships, Navigation template., https://en.wikipedia.org/wiki/Template:ITU_World_Championships
ja-linecat
Japanese clan name
ja-rail-line
j-railservice start
j-route
j-rserv
kml
lead rewrite,                Cleanup banner for lead section.,                           https://en.wikipedia.org/wiki/Template:Lead_rewrite
Library resources box
Librivox author
Listen
location map+
long
look from
lower,                       Visual change.,                                             https://en.wikipedia.org/wiki/Template:Lower
main category
main cat,                    Navigation hatnote.,                                        https://en.wikipedia.org/wiki/Template:Main_cat
Meitetsu Group,              A hidden list.,                                             https://en.wikipedia.org/wiki/Template:Meitetsu_Group
Merging from,                Merge proposed banner.,                                     https://en.wikipedia.org/wiki/Template:Merging_from
Merging to,                  Merge proposed banner.,                                     https://en.wikipedia.org/wiki/Template:Merging_to
missing long citation
More citations needed
more citations needed section
more cn section
More footnotes,              Cleanup banner.,                                            https://en.wikipedia.org/wiki/Template:More_footnotes
More footnotes needed,       need to improve,                                            https://en.wikipedia.org/wiki/Template:More_footnotes_needed
multiple image
Multiple issues,             Using too many individual article message boxes can distract from the article., https://en.wikipedia.org/wiki/Template:Multiple_issues
Navboxes bottom
Navboxes top
Needs update
New archival link needed
NIST-PD,                     Public domain attribution banner.,                          https://en.wikipedia.org/wiki/Template:NIST-PD
no footnotes
NoteFoot
notelist
notelist-lr
notelist-ua
NoteTag
nowrap begin,                Formatting wrapper.,                                        https://en.wikipedia.org/wiki/Template:Nowrap_begin
nowrap end,                  Formatting wrapper.,                                        https://en.wikipedia.org/wiki/Template:Nowrap_end
One source,                  Content that relies on a single source.m,                   https://en.wikipedia.org/wiki/Template:One_source
openhistory
Original research,           One needs to reference sources.,                            https://en.wikipedia.org/wiki/Template:Original_research
Other uses of,               For other uses...,                                          https://en.wikipedia.org/wiki/Template:Other_uses_of
Overly detailed
Page needed
Page needed,                Page Number needed,      https://en.wikipedia.org/wiki/Template:Page_needed
party color
Pd-notice
Pie chart,                   TODO: should be converted on an image.,                     https://en.wikipedia.org/wiki/Template:Pie_chart
PM20,                        TODO:,                                                      https://en.wikipedia.org/wiki/Template:PM20
pn,                         Page Number needed,      https://en.wikipedia.org/wiki/Template:Page_needed
Portal,                      A visible list of portals.,                                 https://en.wikipedia.org/wiki/Template:Portal
Portal bar,                  A visible list of portals.,                                 https://en.wikipedia.org/wiki/Template:Portal_bar
POV,                         Point of view issue with the content.,                      https://en.wikipedia.org/wiki/Template:POV
pp
pp-dispute
Pp-move
pp-move-indef
Pp-pc
pp-protected
pp-semi-indef
pp-sock
pp-vandalism
Primary source inline
Primary sources
prose
Protection padlock
quantify,                    Needs update.,                                              https://en.wikipedia.org/wiki/Template:Quantify
R
raise,                       Visual change.,                                             https://en.wikipedia.org/wiki/Template:Raise
Rapid transit OSM map
Redirect
Redirect2
Redirect-distinguish
Redirect-distinguish-text
redirect-multi
redirect-several
Ref
Refbegin
Refend
Refimprove
reflist
refn
request quotation
service rail start,          Rail transport.,                                            https://en.wikipedia.org/wiki/Template:Service_rail_start
Sfn
sfnm
sfnmp
sfnp
SfnRef
Short description,           TODO we might want to display this on some kind of an index page or TOC., https://en.wikipedia.org/wiki/Template:Short_description
Sister bar
sister links
sisterlinks
Sister project links
solar system delta v map.svg
source-attribution
Source needed
Spoken Wikipedia
sticky-header
Subject bar
subscription
Subscription required
surname
technical,                   Cleanup banner.,                                            https://en.wikipedia.org/wiki/Template:Technical
Technical inline,            Jargon inline cleanup tag.,                                 https://en.wikipedia.org/wiki/Template:Technical_inline
TOC limit
TOClimit
tocright
Tokyo Metropolis Labelled Map
tone
Tone inline
tree chart
tree chart/end
tree chart/start
tree list
tree list/branching
tree list/end
tree list/final branch
tree list/final branching
unbalanced opinion
Unfocused
Unreferenced
Unreferencedsect
unreferenced section
Unreliable source?
Unreliable sources
unsolved
unsourced,                   Citation needed.,                                           https://en.wikipedia.org/wiki/Template:Unreferenced
unsourced section
Update
Update inline
update section
verification needed
verify source,              Need to verify source,   https://en.wikipedia.org/wiki/Template:Verify_source
very long
vs,                         Need to verify source,   https://en.wikipedia.org/wiki/Template:Verify_source
Weather box
when
which?
who
Why?
Wide image
Wikiatlas
Wikidata fallback link
Wikifunctions
Wikinews
wikiquote
Wikiquote-inline
wikisource category
Wikisource-inline
wikispecies-inline
Wikiversity,                 Sister project link.,                                       https://en.wikipedia.org/wiki/Template:Wikiversity
Year article header
year needed
YouTube
